record_type,venture,github_repo,t7_repository_reference,owned,starred,capabilities,criticality,action,mapping_status,sector,source
venture,BW-001-Lash-Extension-Studio,bw-001-lash-extension-studio,https://github.com/Worldwidebro/bw-001-lash-extension-studio,✅,—,,,UNASSESSED,matched,beauty-wellness,t7_registry
venture,BW-002-Mobile-Lash-Service,bw-002-mobile-lash-service,https://github.com/Worldwidebro/bw-002-mobile-lash-service,✅,—,,,UNASSESSED,matched,beauty-wellness,t7_registry
venture,BW-003-Luxury-Lash-Bar,bw-003-luxury-lash-bar,https://github.com/Worldwidebro/bw-003-luxury-lash-bar,✅,—,,,UNASSESSED,matched,beauty-wellness,t7_registry
venture,BW-004-Lash-Training-Academy,bw-004-lash-training-academy,https://github.com/Worldwidebro/bw-004-lash-training-academy,✅,—,,,UNASSESSED,matched,beauty-wellness,t7_registry
venture,BW-005-Lash-Supply-Company,bw-005-lash-supply-company,https://github.com/Worldwidebro/bw-005-lash-supply-company,✅,—,,,UNASSESSED,matched,beauty-wellness,t7_registry
venture,BW-006-Lash-Glue-Brand,bw-006-lash-glue-brand,https://github.com/Worldwidebro/bw-006-lash-glue-brand,✅,—,,,UNASSESSED,matched,beauty-wellness,t7_registry
venture,BW-007-Lash-Kits-&-Tools,,https://github.com/Worldwidebro/bw-007-lash-kits-&-tools,—,—,,,UNASSESSED,t7_claim_not_in_owned_github,beauty-wellness,t7_registry
venture,BW-008-Private-Label-Lashes,bw-008-private-label-lashes,https://github.com/Worldwidebro/bw-008-private-label-lashes,✅,—,,,UNASSESSED,matched,beauty-wellness,t7_registry
venture,BW-009-Franchise-Lash-Salons,bw-009-franchise-lash-salons,https://github.com/Worldwidebro/bw-009-franchise-lash-salons,✅,—,,,UNASSESSED,matched,beauty-wellness,t7_registry
venture,BW-010-Online-Lash-Education,bw-010-online-lash-education,https://github.com/Worldwidebro/bw-010-online-lash-education,✅,—,,,UNASSESSED,matched,beauty-wellness,t7_registry
venture,BW-011-Nail-Salon,bw-011-nail-salon,https://github.com/Worldwidebro/bw-011-nail-salon,✅,—,,,UNASSESSED,matched,beauty-wellness,t7_registry
venture,BW-012-Mobile-Nail-Tech,bw-012-mobile-nail-tech,https://github.com/Worldwidebro/bw-012-mobile-nail-tech,✅,—,,,UNASSESSED,matched,beauty-wellness,t7_registry
venture,BW-013-Luxury-Nail-Spa,bw-013-luxury-nail-spa,https://github.com/Worldwidebro/bw-013-luxury-nail-spa,✅,—,,,UNASSESSED,matched,beauty-wellness,t7_registry
venture,BW-014-Press-On-Nail-Brand,bw-014-press-on-nail-brand,https://github.com/Worldwidebro/bw-014-press-on-nail-brand,✅,—,,,UNASSESSED,matched,beauty-wellness,t7_registry
venture,BW-015-Nail-Art-Studio,bw-015-nail-art-studio,https://github.com/Worldwidebro/bw-015-nail-art-studio,✅,—,,,UNASSESSED,matched,beauty-wellness,t7_registry
venture,BW-016-Nail-Polish-Brand,bw-016-nail-polish-brand,https://github.com/Worldwidebro/bw-016-nail-polish-brand,✅,—,,,UNASSESSED,matched,beauty-wellness,t7_registry
venture,BW-017-Nail-Care-Products,bw-017-nail-care-products,https://github.com/Worldwidebro/bw-017-nail-care-products,✅,—,,,UNASSESSED,matched,beauty-wellness,t7_registry
venture,BW-018-Nail-Booking-Marketplace,bw-018-nail-booking-marketplace,https://github.com/Worldwidebro/bw-018-nail-booking-marketplace,✅,—,,,UNASSESSED,matched,beauty-wellness,t7_registry
venture,BW-019-Salon-Management-Software,bw-019-salon-management-software,https://github.com/Worldwidebro/bw-019-salon-management-software,✅,—,,,UNASSESSED,matched,beauty-wellness,t7_registry
venture,BW-020-AI-Nail-Design-Generator,bw-020-ai-nail-design-generator,https://github.com/Worldwidebro/bw-020-ai-nail-design-generator,✅,—,,,UNASSESSED,matched,beauty-wellness,t7_registry
venture,BW-021-Hair-Salon,bw-021-hair-salon,https://github.com/Worldwidebro/bw-021-hair-salon,✅,—,,,UNASSESSED,matched,beauty-wellness,t7_registry
venture,BW-022-Barbershop,bw-022-barbershop,https://github.com/Worldwidebro/bw-022-barbershop,✅,—,,,UNASSESSED,matched,beauty-wellness,t7_registry
venture,BW-023-Mobile-Hairstyling,bw-023-mobile-hairstyling,https://github.com/Worldwidebro/bw-023-mobile-hairstyling,✅,—,,,UNASSESSED,matched,beauty-wellness,t7_registry
venture,BW-024-Hair-Braiding-Studio,bw-024-hair-braiding-studio,https://github.com/Worldwidebro/bw-024-hair-braiding-studio,✅,—,,,UNASSESSED,matched,beauty-wellness,t7_registry
venture,BW-025-Wig-Installation-Studio,bw-025-wig-installation-studio,https://github.com/Worldwidebro/bw-025-wig-installation-studio,✅,—,,,UNASSESSED,matched,beauty-wellness,t7_registry
venture,BW-026-Hair-Extension-Salon,bw-026-hair-extension-salon,https://github.com/Worldwidebro/bw-026-hair-extension-salon,✅,—,,,UNASSESSED,matched,beauty-wellness,t7_registry
venture,BW-027-Hair-Care-Line,bw-027-hair-care-line,https://github.com/Worldwidebro/bw-027-hair-care-line,✅,—,,,UNASSESSED,matched,beauty-wellness,t7_registry
venture,BW-028-Wig-Brand,bw-028-wig-brand,https://github.com/Worldwidebro/bw-028-wig-brand,✅,—,,,UNASSESSED,matched,beauty-wellness,t7_registry
venture,BW-029-Hair-Extensions-Brand,bw-029-hair-extensions-brand,https://github.com/Worldwidebro/bw-029-hair-extensions-brand,✅,—,,,UNASSESSED,matched,beauty-wellness,t7_registry
venture,BW-030-Scalp-Treatment-Products,bw-030-scalp-treatment-products,https://github.com/Worldwidebro/bw-030-scalp-treatment-products,✅,—,,,UNASSESSED,matched,beauty-wellness,t7_registry
venture,BW-031-Hair-Marketplace,bw-031-hair-marketplace,https://github.com/Worldwidebro/bw-031-hair-marketplace,✅,—,,,UNASSESSED,matched,beauty-wellness,t7_registry
venture,BW-032-Stylist-Booking-Platform,bw-032-stylist-booking-platform,https://github.com/Worldwidebro/bw-032-stylist-booking-platform,✅,—,,,UNASSESSED,matched,beauty-wellness,t7_registry
venture,BW-033-AI-Hairstyle-Simulator,bw-033-ai-hairstyle-simulator,https://github.com/Worldwidebro/bw-033-ai-hairstyle-simulator,✅,—,,,UNASSESSED,matched,beauty-wellness,t7_registry
venture,BW-034-Salon-Franchise-Chain,bw-034-salon-franchise-chain,https://github.com/Worldwidebro/bw-034-salon-franchise-chain,✅,—,,,UNASSESSED,matched,beauty-wellness,t7_registry
venture,BW-035-Makeup-Studio,bw-035-makeup-studio,https://github.com/Worldwidebro/bw-035-makeup-studio,✅,—,,,UNASSESSED,matched,beauty-wellness,t7_registry
venture,BW-036-Bridal-Makeup-Service,bw-036-bridal-makeup-service,https://github.com/Worldwidebro/bw-036-bridal-makeup-service,✅,—,,,UNASSESSED,matched,beauty-wellness,t7_registry
venture,BW-037-Mobile-Makeup-Artist,bw-037-mobile-makeup-artist,https://github.com/Worldwidebro/bw-037-mobile-makeup-artist,✅,—,,,UNASSESSED,matched,beauty-wellness,t7_registry
venture,BW-038-Photoshoot-Makeup-Team,bw-038-photoshoot-makeup-team,https://github.com/Worldwidebro/bw-038-photoshoot-makeup-team,✅,—,,,UNASSESSED,matched,beauty-wellness,t7_registry
venture,BW-039-Cosmetics-Brand,bw-039-cosmetics-brand,https://github.com/Worldwidebro/bw-039-cosmetics-brand,✅,—,,,UNASSESSED,matched,beauty-wellness,t7_registry
venture,BW-040-Beauty-Tools-Brand,bw-040-beauty-tools-brand,https://github.com/Worldwidebro/bw-040-beauty-tools-brand,✅,—,,,UNASSESSED,matched,beauty-wellness,t7_registry
venture,COMM-001,,worldwidebro/local-community-hub,—,—,,,UNASSESSED,no_repo_t7,community,t7_registry
venture,COMM-001-Luminary-Worldwide-Events,comm-001-luminary-worldwide-events,https://github.com/Worldwidebro/comm-001-luminary-worldwide-events,✅,—,,,UNASSESSED,matched,community,t7_registry
venture,COMM-002-Brotherhood-Coaching-Network,comm-002-brotherhood-coaching-network,https://github.com/Worldwidebro/comm-002-brotherhood-coaching-network,✅,—,,,UNASSESSED,matched,community,t7_registry
venture,COMM-003-Ace-Senior-Care-Connect,comm-003-ace-senior-care-connect,https://github.com/Worldwidebro/comm-003-ace-senior-care-connect,✅,—,,,UNASSESSED,matched,community,t7_registry
venture,COMM-004-Community-Outreach-Nonprofit,comm-004-community-outreach-nonprofit,https://github.com/Worldwidebro/comm-004-community-outreach-nonprofit,✅,—,,,UNASSESSED,matched,community,t7_registry
venture,COMM-005-Ace-Food-Security-AI,comm-005-ace-food-security-ai,https://github.com/Worldwidebro/comm-005-ace-food-security-ai,✅,—,,,UNASSESSED,matched,community,t7_registry
venture,COMM-006-Community-Technology-Access-AI,comm-006-community-technology-access-ai,https://github.com/Worldwidebro/comm-006-community-technology-access-ai,✅,—,,,UNASSESSED,matched,community,t7_registry
venture,COMM-007-Youth-Leadership-AI,comm-007-youth-leadership-ai,https://github.com/Worldwidebro/comm-007-youth-leadership-ai,✅,—,,,UNASSESSED,matched,community,t7_registry
venture,COMM-008-Community-Fundraising-AI,comm-008-community-fundraising-ai,https://github.com/Worldwidebro/comm-008-community-fundraising-ai,✅,—,,,UNASSESSED,matched,community,t7_registry
venture,COMM-009-Volunteer-Hub-AI,comm-009-volunteer-hub-ai,https://github.com/Worldwidebro/comm-009-volunteer-hub-ai,✅,—,,,UNASSESSED,matched,community,t7_registry
