repo_id,capability_id,relation,confidence
_master-governance,ai-ml,provides,name+description
_master-governance,agent-systems,provides,name+description
_master-governance,venture-governance,provides,name+description
ace-ecommerce-templates,ai-ml,provides,name+description
ace-ecommerce-templates,automation-orchestration,provides,name+description
ace-ecommerce-templates,e-commerce,provides,name+description
acquisition-vehicle-automation,automation-orchestration,provides,name+description
acquisition-vehicle-automation,venture-governance,provides,name+description
agency-agents,ai-ml,provides,name+description
agency-agents,agent-systems,provides,name+description
agency-agents,frontend-ui,provides,name+description
ai-001-ai-command-center,ai-ml,provides,name+description
ai-001-ai-command-center,agent-systems,provides,name+description
ai-001-ai-command-center,automation-orchestration,provides,name+description
ai-001-ai-command-center,data-analytics,provides,name+description
ai-002-api,ai-ml,provides,name+description
ai-002-api,api-integration,provides,name+description
ai-002-api,backend-service,provides,name+description
ai-002-ml-engine,ai-ml,provides,name+description
ai-002-ml-engine,education-learning,provides,name+description
ai-002-web-app,ai-ml,provides,name+description
ai-002-web-app,automation-orchestration,provides,name+description
ai-002-web-app,frontend-ui,provides,name+description
ai-boss-holdings-v4,ai-ml,provides,name+description
ai-business-commander,ai-ml,provides,name+description
ai-venture-studio-template,ai-ml,provides,name+description
ai-venture-studio-template,developer-tools,provides,name+description
aibossoslandingpage,ai-ml,provides,name+description
aibossoslandingpage,frontend-ui,provides,name+description
autonomous-venture-studio,agent-systems,provides,name+description
autonomous-venture-studio,automation-orchestration,provides,name+description
avatar-engine,database-storage,provides,name+description
avatar-engine,backend-service,provides,name+description
Avs-Omni-,agent-systems,provides,name+description
billionaire-brain-assistant,ai-ml,provides,name+description
billionaire-brain-assistant,venture-governance,provides,name+description
billionaire-consciousness-empire,venture-governance,provides,name+description
billionaire-workflow-automation,automation-orchestration,provides,name+description
billionaire-workflow-automation,venture-governance,provides,name+description
business-template-marketplace,ai-ml,provides,name+description
business-template-marketplace,payments-billing,provides,name+description
business-template-marketplace,e-commerce,provides,name+description
business-template-marketplace,developer-tools,provides,name+description
bw-001-contracts,frontend-ui,provides,name+description
bw-001-up-next,frontend-ui,provides,name+description
bw-001-up-next-business,frontend-ui,provides,name+description
bw-001-up-next-code,ai-ml,provides,name+description
bw-001-up-next-code,automation-orchestration,provides,name+description
bw-001-up-next-code,database-storage,provides,name+description
bw-001-up-next-code,frontend-ui,provides,name+description
bw-001-up-next-code,backend-service,provides,name+description
bw-001-up-next-code,mobile-app,provides,name+description
bw-001-up-next-web,frontend-ui,provides,name+description
bw-002-mobile-lash-service,mobile-app,provides,name+description
bw-010-online-lash-education,education-learning,provides,name+description
bw-012-mobile-nail-tech,mobile-app,provides,name+description
bw-018-nail-booking-marketplace,e-commerce,provides,name+description
bw-020-ai-nail-design-generator,ai-ml,provides,name+description
bw-020-ai-nail-design-generator,developer-tools,provides,name+description
bw-023-mobile-hairstyling,mobile-app,provides,name+description
bw-031-hair-marketplace,e-commerce,provides,name+description
bw-033-ai-hairstyle-simulator,ai-ml,provides,name+description
bw-037-mobile-makeup-artist,mobile-app,provides,name+description
capital-orchestrator,automation-orchestration,provides,name+description
career-ops,search-retrieval,provides,name+description
career-ops,automation-orchestration,provides,name+description
civilization-os,ai-ml,provides,name+description
civilization-os,automation-orchestration,provides,name+description
civilization-os,api-integration,provides,name+description
civilization-website,api-integration,provides,name+description
civilization-website,database-storage,provides,name+description
civilization-website,frontend-ui,provides,name+description
